index,relevant,text,pred
6222,1,fairfax co  investigating firefighter khalil abdul rasheed for facebook post saying police shld be put in body bags  ,0
3212,0,trident 90225 chevy fire truck w  pumper  ims fire dept  red ho 1 87  plastic  ,1
7333,1, house  burned  down my house burned down  california fire  ,0
6674,0, yes god doessnt change  he says not to rejoice over the fall of people or calamities like wild fires  ect  you wanna be punished ,1
8226,0, losangelestimes   the package includes  576 5 million for  california wildfire     ,1
6437,1, true because of the truck that caught fire ,0
7747,0, california wildfires claim iconic  glass house  in solano county  via fox news  ,1
6401,0,my asshole is on fire  ,1
3170,0,morganite gemstone white fire opal 925 sterling silver ring size 6 r1354  ,1
7633,0,insurance payouts may not cover all wildfire damage for california wineries ,1
7687,0,family miraculously finds dog they lost when escaping california wildfires  ,1
7100,0,u s  house panel approves  36 5 billion for hurricane  wildfire relief  ,1
6649,1,hey    my moms house burned down in the ca wild fires  amp  i bought her an e gift card to buy her clothes  cont  ,0
7409,0,i am buying more  wine to show my  solidarity to those affected by the  californiawildfires   ,1
8176,0,central california wine tour raises money for fire relief   vacation  travel  holiday ,1
8216,0,wildfire breaks out in california s ventura county  ,1
6567,1,hellfire  we don   trade_mark t even want to think about it or mention it so let   trade_mark s not do anything that leads to it  islam ,0
1155,0,jane kelsey on the fire economy 5th aug 5 30   7 30pm old govt buildings wgton the context  amp  the driver for  tpp and  tradeinservicesagr,1
7270,0,video shows california  family reuniting with pet dog presumed dead in  wildfire  ,1
7766,0,help save california from the wildfires by going to  and donating  ,1
6835,0,rt  calistoga fire  tubbsfire  napafire  abc7now  kron4news  fire  california  napa ,1
6352,1,tonight is being quite interesting    a few minutes ago the fire system went off and we had to evacuate the building ,0
6456,1,volunteers served first responders today during a tanker fire in eufaula  provided cold drinks and food   okwx  tankerfir,0
6837,1, watch  us space satellite cameras spot california fire smoke  ,0
7865,0,hellish california wildfires inspire haunting web comic  ,1
7974,0,breathe safer as california wildfires rage on       airpollution ,1
8150,1,the  heat is on again across much of  california unfortunately this is what to expect  ,0
6910,0,california wildfires  what        s next   insurance  ,1
7753,0,round        up  macarthur fellows  california wildfires  and joni mitchell  ,1
8022,0,everly isbe          wildfires in california  no such   thing   ,1
6009,0,we should all have a fire safety plan  rt  mock wildfire near  vail as agencies prepare for the worst  ,1
6279,0,hermancranston   atk  letsfootball rt skanndtyagi   letsfootball  atk wired   all these fires are burning through   _ ,1
7942,1,california crews are looking forward to expected rainfall  ,0
1160,0,a change in the state fire code prohibits grills on decks at condos and apartment buildings   check with your    ,1
8047,0,sign with a positive message following devastating wildfires in sonoma  california   ,1
1154,0,fire hazard associated with installation of non compliant external cladding on    by ,1
6868,0,we are only one hour away from our live updates for the wildfires brush fires in california ,1
7246,1,guy fieri served meals for california fire survivors   mdmgradionews       f ,0
6252,0,a change in the state fire code prohibits grills on decks at condos and apartment buildings   check with your    ,1
7851,1,woman fled california fire on her bike        with her 70 pound dog on her back  ,0
7886,0,mount st  joseph student finds new opportunity after fleeing california wildfires   ,1
6979,0, edmonton sun  former  edmonton  oilers goalie grant fuhr escapes wildfires in california    ,1
6444,0,trident 90225 chevy fire truck w  pumper  ims fire dept  red ho 1 87  plastic  ,1
8224,0, bayarea  restaurants join  forces help north bay  fire    ,1
7125,1,seen from above  entire california communities reduced to ash  ,0
8056,0,rt  california imam under fire after asking allah to  annihilate  jews in sermon  ,1
6625,1, smoke   so much you don t gotta do shit but light   one of his locks on fire     that s like a whole tre five right there ,0
7299,1,       we        re going to f     g die dude          video shows men barely escape california fire  video  ,0
7007,1, follow this   images show devastation of          news  allsorce  breakingnews  products ,0
